CQID,pType,CAT,CPID,CComp,CCost,LCost,DCost,DQID,DPID,[Q],IMP,POS
8,O2-Sensor,Electronic Component,O2-Sensor-202,Fuse,0.74,0.49,0.25,43,O2-Sensor-213,8289999.999999999,2072500.0,REFERENCE FOUND!
8,O2-Sensor,Electronic Component,O2-Sensor-202,Servo Motor,1.48,1.03,0.45,24,TPS-107,8289999.999999999,3730500.0,REFERENCE FOUND!
8,O2-Sensor,Electronic Component,O2-Sensor-202,Rectifier,0.34,0.21,0.13,24,TPS-107,8289999.999999999,1077700.0,REFERENCE FOUND!
8,O2-Sensor,Mechanical Components,O2-Sensor-202,Heat Sink,0.45,0.44,0.01,33,O2-Sensor-210,8289999.999999999,82900.0,REFERENCE FOUND!
8,O2-Sensor,Mechanical Components,O2-Sensor-202,Metal Clip,0.37,0.26,0.11,24,TPS-107,8289999.999999999,911900.0,REFERENCE FOUND!
8,O2-Sensor,Mechanical Components,O2-Sensor-202,Bushing Assembly,0.43,0.4,0.03,33,O2-Sensor-210,8289999.999999999,248700.0,REFERENCE FOUND!
9,ECU,Electronic Component,ECU-302,Voltage Regulator,0.69,0.62,0.07,34,ECU-311,7310000.0,511700.0,REFERENCE FOUND!
9,ECU,Electronic Component,ECU-302,Optocoupler,1.6,0.98,0.62,44,ECU-314,7310000.0,4532200.0,REFERENCE FOUND!
9,ECU,Electronic Component,ECU-302,Power Supply,0.2,0.2,0.0,9,ECU-302,7310000.0,0.0,COST REFERENCE
9,ECU,Mechanical Components,ECU-302,Piston,0.46,0.39,0.07,25,ECU-308,7310000.0,511700.0,REFERENCE FOUND!
9,ECU,Mechanical Components,ECU-302,Wire Harness,0.36,0.31,0.05,44,ECU-314,7310000.0,365500.0,REFERENCE FOUND!
9,ECU,Mechanical Components,ECU-302,Pivot Point,0.34,0.34,0.0,9,ECU-302,7310000.0,0.0,COST REFERENCE
10,TPS,Electronic Component,TPS-103,Oscillator,0.76,0.48,0.28,45,TPS-115,6580000.0,1842400.0,REFERENCE FOUND!
10,TPS,Electronic Component,TPS-103,Magnetic Sensor,1.11,0.73,0.38,45,TPS-115,6580000.0,2500400.0,REFERENCE FOUND!
10,TPS,Electronic Component,TPS-103,Charge Controller,0.29,0.29,0.0,10,TPS-103,6580000.0,0.0,COST REFERENCE
10,TPS,Mechanical Components,TPS-103,Gasket,0.58,0.44,0.14,35,TPS-111,6580000.0,921200.0,REFERENCE FOUND!
10,TPS,Mechanical Components,TPS-103,Spring,0.36,0.27,0.09,45,TPS-115,6580000.0,592200.0,REFERENCE FOUND!
10,TPS,Mechanical Components,TPS-103,Slider Mechanism,0.33,0.33,0.0,10,TPS-103,6580000.0,0.0,COST REFERENCE
11,O2-Sensor,Electronic Component,O2-Sensor-203,Transducer,0.7,0.7,0.0,11,O2-Sensor-203,8410000.0,0.0,COST REFERENCE
11,O2-Sensor,Electronic Component,O2-Sensor-203,Variable Resistor,1.57,0.8,0.77,46,O2-Sensor-214,8410000.0,6475700.0,REFERENCE FOUND!
11,O2-Sensor,Electronic Component,O2-Sensor-203,Energy Harvester,0.34,0.29,0.05,46,O2-Sensor-214,8410000.0,420500.0,REFERENCE FOUND!
11,O2-Sensor,Mechanical Components,O2-Sensor-203,Bracket Assembly,0.58,0.4,0.18,46,O2-Sensor-214,8410000.0,1513800.0,REFERENCE FOUND!
11,O2-Sensor,Mechanical Components,O2-Sensor-203,Pin Connector,0.27,0.24,0.03,46,O2-Sensor-214,8410000.0,252300.0,REFERENCE FOUND!
11,O2-Sensor,Mechanical Components,O2-Sensor-203,Rack and Pinion,0.28,0.28,0.0,11,O2-Sensor-203,8410000.0,0.0,COST REFERENCE
12,ECU,Electronic Component,ECU-303,Photodiode,0.57,0.57,0.0,12,ECU-303,6510000.0,0.0,COST REFERENCE
12,ECU,Electronic Component,ECU-303,LCD Display,1.28,1.28,0.0,12,ECU-303,6510000.0,0.0,COST REFERENCE
12,ECU,Electronic Component,ECU-303,Signal Processor,0.31,0.26,0.05,47,ECU-315,6510000.0,325500.0,REFERENCE FOUND!
12,ECU,Mechanical Components,ECU-303,Switch Assembly,0.54,0.54,0.0,12,ECU-303,6510000.0,0.0,COST REFERENCE
12,ECU,Mechanical Components,ECU-303,Rivet,0.33,0.32,0.01,47,ECU-315,6510000.0,65100.0,REFERENCE FOUND!
12,ECU,Mechanical Components,ECU-303,Helical Spring,0.39,0.39,0.0,12,ECU-303,6510000.0,0.0,COST REFERENCE
13,TPS,Electronic Component,TPS-104,Piezoelectric Crystal,0.76,0.49,0.27,48,TPS-116,8150000.0,2200500.0,REFERENCE FOUND!
13,TPS,Electronic Component,TPS-104,RFID Chip,0.75,0.75,0.0,13,TPS-104,8150000.0,0.0,COST REFERENCE
13,TPS,Electronic Component,TPS-104,Hall Effect Sensor,0.3,0.26,0.04,48,TPS-116,8150000.0,326000.0,REFERENCE FOUND!
13,TPS,Mechanical Components,TPS-104,Frame Structure,0.41,0.41,0.0,13,TPS-104,8150000.0,0.0,COST REFERENCE
13,TPS,Mechanical Components,TPS-104,Bearing,0.28,0.26,0.02,48,TPS-116,8150000.0,163000.0,REFERENCE FOUND!
13,TPS,Mechanical Components,TPS-104,Sprocket Assembly,0.32,0.28,0.04,48,TPS-116,8150000.0,326000.0,REFERENCE FOUND!
14,O2-Sensor,Electronic Component,O2-Sensor-204,Hall Sensor,0.45,0.45,0.0,14,O2-Sensor-204,7110000.0,0.0,COST REFERENCE
14,O2-Sensor,Electronic Component,O2-Sensor-204,Bluetooth Module,0.71,0.71,0.0,14,O2-Sensor-204,7110000.0,0.0,COST REFERENCE
14,O2-Sensor,Electronic Component,O2-Sensor-204,Analog-to-Digital Converter,0.31,0.31,0.0,14,O2-Sensor-204,7110000.0,0.0,COST REFERENCE
14,O2-Sensor,Mechanical Components,O2-Sensor-204,Exhaust Clamp,0.56,0.51,0.05,49,O2-Sensor-215,7110000.0,355500.0,REFERENCE FOUND!
14,O2-Sensor,Mechanical Components,O2-Sensor-204,Bolt,0.25,0.25,0.0,14,O2-Sensor-204,7110000.0,0.0,COST REFERENCE
14,O2-Sensor,Mechanical Components,O2-Sensor-204,Link Chain,0.44,0.3,0.14,49,O2-Sensor-215,7110000.0,995400.0,REFERENCE FOUND!
15,ECU,Electronic Component,ECU-304,RFID Reader,0.51,0.51,0.0,15,ECU-304,8460000.0,0.0,COST REFERENCE
15,ECU,Electronic Component,ECU-304,GPS Module,1.15,1.15,0.0,15,ECU-304,8460000.0,0.0,COST REFERENCE
15,ECU,Electronic Component,ECU-304,Power Amplifier,0.2,0.2,0.0,15,ECU-304,8460000.0,0.0,COST REFERENCE
15,ECU,Mechanical Components,ECU-304,Spring Assembly,0.56,0.42,0.14,50,ECU-316,8460000.0,1184400.0,REFERENCE FOUND!
15,ECU,Mechanical Components,ECU-304,Screw,0.28,0.28,0.0,15,ECU-304,8460000.0,0.0,COST REFERENCE
15,ECU,Mechanical Components,ECU-304,Linear Actuator,0.4,0.4,0.0,15,ECU-304,8460000.0,0.0,COST REFERENCE
16,ECU,Electronic Component,ECU-305,Solenoid,0.78,0.78,0.0,16,ECU-305,6980000.0,0.0,COST REFERENCE
16,ECU,Electronic Component,ECU-305,Accelerometer,1.11,1.11,0.0,16,ECU-305,6980000.0,0.0,COST REFERENCE
16,ECU,Electronic Component,ECU-305,DC-DC Converter,0.27,0.27,0.0,16,ECU-305,6980000.0,0.0,COST REFERENCE
16,ECU,Mechanical Components,ECU-305,Filter Housing,0.59,0.59,0.0,16,ECU-305,6980000.0,0.0,COST REFERENCE
16,ECU,Mechanical Components,ECU-305,Nut,0.38,0.38,0.0,16,ECU-305,6980000.0,0.0,COST REFERENCE
16,ECU,Mechanical Components,ECU-305,Actuator Rod,0.32,0.32,0.0,16,ECU-305,6980000.0,0.0,COST REFERENCE
17,TPS,Electronic Component,TPS-105,Potentiometer,0.6,0.58,0.02,36,TPS-112,6470000.0,129400.0,REFERENCE FOUND!
17,TPS,Electronic Component,TPS-105,Microcontroller,1.3,1.01,0.29,26,TPS-108,6470000.0,1876300.0,REFERENCE FOUND!
17,TPS,Electronic Component,TPS-105,Voltage Regulator,0.3,0.22,0.08,1,TPS-100,6470000.0,517600.0,REFERENCE FOUND!
17,TPS,Mechanical Components,TPS-105,Injection-Molded Plastic Casing,0.54,0.37,0.17,26,TPS-108,6470000.0,1099900.0,REFERENCE FOUND!
17,TPS,Mechanical Components,TPS-105,Brass Contact Pins,0.24,0.24,0.0,17,TPS-105,6470000.0,0.0,COST REFERENCE
17,TPS,Mechanical Components,TPS-105,Mounting Clamp,0.34,0.28,0.06,1,TPS-100,6470000.0,388200.0,REFERENCE FOUND!
18,O2-Sensor,Electronic Component,O2-Sensor-205,LED,0.79,0.69,0.1,40,O2-Sensor-212,7910000.0,791000.0,REFERENCE FOUND!
18,O2-Sensor,Electronic Component,O2-Sensor-205,Relay,1.37,0.83,0.54,40,O2-Sensor-212,7910000.0,4271400.0,REFERENCE FOUND!
18,O2-Sensor,Electronic Component,O2-Sensor-205,Operational Amplifier,0.23,0.21,0.02,40,O2-Sensor-212,7910000.0,158200.0,REFERENCE FOUND!
18,O2-Sensor,Mechanical Components,O2-Sensor-205,Actuator Arm,0.45,0.37,0.08,40,O2-Sensor-212,7910000.0,632800.0,REFERENCE FOUND!
18,O2-Sensor,Mechanical Components,O2-Sensor-205,Plastic Knob,0.29,0.24,0.05,5,O2-Sensor-201,7910000.0,395500.0,REFERENCE FOUND!
18,O2-Sensor,Mechanical Components,O2-Sensor-205,Cam Follower,0.38,0.36,0.02,40,O2-Sensor-212,7910000.0,158200.0,REFERENCE FOUND!
19,TPS,Electronic Component,TPS-106,Resistor,0.71,0.51,0.2,27,O2-Sensor-208,6980000.0,1396000.0,REFERENCE FOUND!
19,TPS,Electronic Component,TPS-106,Pressure Sensor,1.21,1.03,0.18,2,O2-Sensor-200,6980000.0,1256400.0,REFERENCE FOUND!
19,TPS,Electronic Component,TPS-106,Heat Sink,0.26,0.2,0.06,2,O2-Sensor-200,6980000.0,418800.0,REFERENCE FOUND!
19,TPS,Mechanical Components,TPS-106,Thermal Shielding,0.42,0.37,0.05,2,O2-Sensor-200,6980000.0,349000.0,REFERENCE FOUND!
19,TPS,Mechanical Components,TPS-106,Spring Clip,0.25,0.25,0.0,19,TPS-106,6980000.0,0.0,COST REFERENCE
19,TPS,Mechanical Components,TPS-106,Gear Mechanism,0.39,0.29,0.1,2,O2-Sensor-200,6980000.0,698000.0,REFERENCE FOUND!
20,O2-Sensor,Electronic Component,O2-Sensor-206,Capacitor,0.55,0.51,0.04,28,ECU-309,7590000.0,303600.0,REFERENCE FOUND!
20,O2-Sensor,Electronic Component,O2-Sensor-206,Transistor,1.03,0.96,0.07,38,ECU-312,7590000.0,531300.0,REFERENCE FOUND!
20,O2-Sensor,Electronic Component,O2-Sensor-206,Diode,0.24,0.24,0.0,20,O2-Sensor-206,7590000.0,0.0,COST REFERENCE
20,O2-Sensor,Mechanical Components,O2-Sensor-206,Mounting Bracket,0.56,0.37,0.19,28,ECU-309,7590000.0,1442100.0,REFERENCE FOUND!
20,O2-Sensor,Mechanical Components,O2-Sensor-206,Connector Housing,0.36,0.26,0.1,28,ECU-309,7590000.0,759000.0,REFERENCE FOUND!
20,O2-Sensor,Mechanical Components,O2-Sensor-206,Adjustable Lever,0.45,0.34,0.11,38,ECU-312,7590000.0,834900.0,REFERENCE FOUND!
21,ECU,Electronic Component,ECU-306,Thermistor,0.47,0.47,0.0,21,ECU-306,6810000.0,0.0,COST REFERENCE
21,ECU,Electronic Component,ECU-306,Temperature Sensor,0.96,0.86,0.1,29,TPS-109,6810000.0,681000.0,REFERENCE FOUND!
21,ECU,Electronic Component,ECU-306,Amplifier,0.28,0.24,0.04,4,TPS-101,6810000.0,272400.0,REFERENCE FOUND!
21,ECU,Mechanical Components,ECU-306,Rubber Seal,0.48,0.48,0.0,21,ECU-306,6810000.0,0.0,COST REFERENCE
21,ECU,Mechanical Components,ECU-306,Copper Wire,0.24,0.24,0.0,21,ECU-306,6810000.0,0.0,COST REFERENCE
21,ECU,Mechanical Components,ECU-306,Rotary Shaft,0.28,0.28,0.0,21,ECU-306,6810000.0,0.0,COST REFERENCE
22,O2-Sensor,Electronic Component,O2-Sensor-207,Diode,0.69,0.6,0.09,6,ECU-301,7320000.0,658800.0,REFERENCE FOUND!
22,O2-Sensor,Electronic Component,O2-Sensor-207,Inductor,0.93,0.93,0.0,22,O2-Sensor-207,7320000.0,0.0,COST REFERENCE
22,O2-Sensor,Electronic Component,O2-Sensor-207,Crystal Oscillator,0.21,0.21,0.0,22,O2-Sensor-207,7320000.0,0.0,COST REFERENCE
22,O2-Sensor,Mechanical Components,O2-Sensor-207,Connector Body,0.37,0.37,0.0,22,O2-Sensor-207,7320000.0,0.0,COST REFERENCE
22,O2-Sensor,Mechanical Components,O2-Sensor-207,Steel Rod,0.32,0.28,0.04,6,ECU-301,7320000.0,292800.0,REFERENCE FOUND!
22,O2-Sensor,Mechanical Components,O2-Sensor-207,Linkage Assembly,0.39,0.35,0.04,6,ECU-301,7320000.0,292800.0,REFERENCE FOUND!
23,ECU,Electronic Component,ECU-307,Integrated Circuit,0.47,0.47,0.0,23,ECU-307,6820000.0,0.0,COST REFERENCE
23,ECU,Electronic Component,ECU-307,Piezoelectric Sensor,1.07,0.99,0.08,7,TPS-102,6820000.0,545600.0,REFERENCE FOUND!
23,ECU,Electronic Component,ECU-307,Filter,0.36,0.21,0.15,7,TPS-102,6820000.0,1023000.0,REFERENCE FOUND!
23,ECU,Mechanical Components,ECU-307,Valve Body,0.45,0.43,0.02,32,TPS-110,6820000.0,136400.0,REFERENCE FOUND!
23,ECU,Mechanical Components,ECU-307,Ceramic Disc,0.33,0.28,0.05,42,TPS-114,6820000.0,341000.0,REFERENCE FOUND!
23,ECU,Mechanical Components,ECU-307,Control Arm,0.34,0.34,0.0,23,ECU-307,6820000.0,0.0,COST REFERENCE
24,TPS,Electronic Component,TPS-107,Fuse,0.52,0.49,0.03,43,O2-Sensor-213,7960000.0,238800.0,REFERENCE FOUND!
24,TPS,Electronic Component,TPS-107,Servo Motor,1.03,1.03,0.0,24,TPS-107,7960000.0,0.0,COST REFERENCE
24,TPS,Electronic Component,TPS-107,Rectifier,0.21,0.21,0.0,24,TPS-107,7960000.0,0.0,COST REFERENCE
24,TPS,Mechanical Components,TPS-107,Heat Sink,0.48,0.44,0.04,33,O2-Sensor-210,7960000.0,318400.0,REFERENCE FOUND!
24,TPS,Mechanical Components,TPS-107,Metal Clip,0.26,0.26,0.0,24,TPS-107,7960000.0,0.0,COST REFERENCE
24,TPS,Mechanical Components,TPS-107,Bushing Assembly,0.41,0.4,0.01,33,O2-Sensor-210,7960000.0,79600.0,REFERENCE FOUND!
25,ECU,Electronic Component,ECU-308,Voltage Regulator,0.63,0.62,0.01,34,ECU-311,6630000.0,66300.0,REFERENCE FOUND!
25,ECU,Electronic Component,ECU-308,Optocoupler,1.28,0.98,0.3,44,ECU-314,6630000.0,1989000.0,REFERENCE FOUND!
25,ECU,Electronic Component,ECU-308,Power Supply,0.31,0.2,0.11,9,ECU-302,6630000.0,729300.0,REFERENCE FOUND!
25,ECU,Mechanical Components,ECU-308,Piston,0.39,0.39,0.0,25,ECU-308,6630000.0,0.0,COST REFERENCE
25,ECU,Mechanical Components,ECU-308,Wire Harness,0.38,0.31,0.07,44,ECU-314,6630000.0,464100.0,REFERENCE FOUND!
25,ECU,Mechanical Components,ECU-308,Pivot Point,0.36,0.34,0.02,9,ECU-302,6630000.0,132600.0,REFERENCE FOUND!
26,TPS,Electronic Component,TPS-108,Potentiometer,0.68,0.58,0.1,36,TPS-112,6620000.0,662000.0,REFERENCE FOUND!
26,TPS,Electronic Component,TPS-108,Microcontroller,1.01,1.01,0.0,26,TPS-108,6620000.0,0.0,COST REFERENCE
26,TPS,Electronic Component,TPS-108,Voltage Regulator,0.29,0.22,0.07,1,TPS-100,6620000.0,463400.0,REFERENCE FOUND!
26,TPS,Mechanical Components,TPS-108,Injection-Molded Plastic Casing,0.37,0.37,0.0,26,TPS-108,6620000.0,0.0,COST REFERENCE
26,TPS,Mechanical Components,TPS-108,Brass Contact Pins,0.27,0.24,0.03,17,TPS-105,6620000.0,198600.0,REFERENCE FOUND!
26,TPS,Mechanical Components,TPS-108,Mounting Clamp,0.29,0.28,0.01,1,TPS-100,6620000.0,66200.0,REFERENCE FOUND!
27,O2-Sensor,Electronic Component,O2-Sensor-208,Resistor,0.51,0.51,0.0,27,O2-Sensor-208,8119999.999999999,0.0,COST REFERENCE
27,O2-Sensor,Electronic Component,O2-Sensor-208,Pressure Sensor,1.58,1.03,0.55,2,O2-Sensor-200,8119999.999999999,4466000.0,REFERENCE FOUND!
27,O2-Sensor,Electronic Component,O2-Sensor-208,Heat Sink,0.35,0.2,0.15,2,O2-Sensor-200,8119999.999999999,1218000.0,REFERENCE FOUND!
27,O2-Sensor,Mechanical Components,O2-Sensor-208,Thermal Shielding,0.47,0.37,0.1,2,O2-Sensor-200,8119999.999999999,812000.0,REFERENCE FOUND!
27,O2-Sensor,Mechanical Components,O2-Sensor-208,Spring Clip,0.35,0.25,0.1,19,TPS-106,8119999.999999999,812000.0,REFERENCE FOUND!
27,O2-Sensor,Mechanical Components,O2-Sensor-208,Gear Mechanism,0.32,0.29,0.03,2,O2-Sensor-200,8119999.999999999,243600.0,REFERENCE FOUND!
28,ECU,Electronic Component,ECU-309,Capacitor,0.51,0.51,0.0,28,ECU-309,7760000.0,0.0,COST REFERENCE
28,ECU,Electronic Component,ECU-309,Transistor,1.47,0.96,0.51,38,ECU-312,7760000.0,3957600.0,REFERENCE FOUND!
28,ECU,Electronic Component,ECU-309,Diode,0.35,0.24,0.11,20,O2-Sensor-206,7760000.0,853600.0,REFERENCE FOUND!
28,ECU,Mechanical Components,ECU-309,Mounting Bracket,0.37,0.37,0.0,28,ECU-309,7760000.0,0.0,COST REFERENCE
28,ECU,Mechanical Components,ECU-309,Connector Housing,0.26,0.26,0.0,28,ECU-309,7760000.0,0.0,COST REFERENCE
28,ECU,Mechanical Components,ECU-309,Adjustable Lever,0.47,0.34,0.13,38,ECU-312,7760000.0,1008800.0,REFERENCE FOUND!
29,TPS,Electronic Component,TPS-109,Thermistor,0.64,0.47,0.17,21,ECU-306,7320000.0,1244400.0,REFERENCE FOUND!
29,TPS,Electronic Component,TPS-109,Temperature Sensor,0.86,0.86,0.0,29,TPS-109,7320000.0,0.0,COST REFERENCE
29,TPS,Electronic Component,TPS-109,Amplifier,0.28,0.24,0.04,4,TPS-101,7320000.0,292800.0,REFERENCE FOUND!
29,TPS,Mechanical Components,TPS-109,Rubber Seal,0.56,0.48,0.08,21,ECU-306,7320000.0,585600.0,REFERENCE FOUND!
29,TPS,Mechanical Components,TPS-109,Copper Wire,0.3,0.24,0.06,21,ECU-306,7320000.0,439200.0,REFERENCE FOUND!
29,TPS,Mechanical Components,TPS-109,Rotary Shaft,0.43,0.28,0.15,21,ECU-306,7320000.0,1098000.0,REFERENCE FOUND!
30,O2-Sensor,Electronic Component,O2-Sensor-209,LED,0.74,0.69,0.05,40,O2-Sensor-212,6420000.0,321000.0,REFERENCE FOUND!
30,O2-Sensor,Electronic Component,O2-Sensor-209,Relay,0.92,0.83,0.09,40,O2-Sensor-212,6420000.0,577800.0,REFERENCE FOUND!
30,O2-Sensor,Electronic Component,O2-Sensor-209,Operational Amplifier,0.26,0.21,0.05,40,O2-Sensor-212,6420000.0,321000.0,REFERENCE FOUND!
30,O2-Sensor,Mechanical Components,O2-Sensor-209,Actuator Arm,0.53,0.37,0.16,40,O2-Sensor-212,6420000.0,1027200.0,REFERENCE FOUND!
30,O2-Sensor,Mechanical Components,O2-Sensor-209,Plastic Knob,0.26,0.24,0.02,5,O2-Sensor-201,6420000.0,128400.0,REFERENCE FOUND!
30,O2-Sensor,Mechanical Components,O2-Sensor-209,Cam Follower,0.47,0.36,0.11,40,O2-Sensor-212,6420000.0,706200.0,REFERENCE FOUND!
31,ECU,Electronic Component,ECU-310,Diode,0.72,0.6,0.12,6,ECU-301,7840000.0,940800.0,REFERENCE FOUND!
31,ECU,Electronic Component,ECU-310,Inductor,1.46,0.93,0.53,22,O2-Sensor-207,7840000.0,4155200.0,REFERENCE FOUND!
31,ECU,Electronic Component,ECU-310,Crystal Oscillator,0.29,0.21,0.08,22,O2-Sensor-207,7840000.0,627200.0,REFERENCE FOUND!
31,ECU,Mechanical Components,ECU-310,Connector Body,0.57,0.37,0.2,22,O2-Sensor-207,7840000.0,1568000.0,REFERENCE FOUND!
31,ECU,Mechanical Components,ECU-310,Steel Rod,0.36,0.28,0.08,6,ECU-301,7840000.0,627200.0,REFERENCE FOUND!
31,ECU,Mechanical Components,ECU-310,Linkage Assembly,0.38,0.35,0.03,6,ECU-301,7840000.0,235200.0,REFERENCE FOUND!
32,TPS,Electronic Component,TPS-110,Integrated Circuit,0.74,0.47,0.27,23,ECU-307,8270000.0,2232900.0,REFERENCE FOUND!
32,TPS,Electronic Component,TPS-110,Piezoelectric Sensor,1.06,0.99,0.07,7,TPS-102,8270000.0,578900.0,REFERENCE FOUND!
32,TPS,Electronic Component,TPS-110,Filter,0.28,0.21,0.07,7,TPS-102,8270000.0,578900.0,REFERENCE FOUND!
32,TPS,Mechanical Components,TPS-110,Valve Body,0.43,0.43,0.0,32,TPS-110,8270000.0,0.0,COST REFERENCE
32,TPS,Mechanical Components,TPS-110,Ceramic Disc,0.37,0.28,0.09,42,TPS-114,8270000.0,744300.0,REFERENCE FOUND!
