CQID,pType,CAT,CPID,CComp,CCost,LCost,DCost,DQID,DPID,[Q],IMP,POS
3,ECU,Conversion Cost,ECU-300,Machine Calibration,0.35,0.35,0.0,3,ECU-300,1124.54,0.0,COST REFERENCE
3,ECU,Conversion Cost,ECU-300,Handling and Storage,0.27,0.27,0.0,3,ECU-300,1124.54,0.0,COST REFERENCE
3,ECU,Logistic Choice,ECU-300,Sea,0.47,0.42,0.05,18,O2-Sensor-205,1124.54,56.23,REFERENCE FOUND!
3,ECU,Logistic Choice,ECU-300,Dimensional Inspection,0.22,0.22,0.0,3,ECU-300,1124.54,0.0,COST REFERENCE
3,ECU,Logistic Choice,ECU-300,Life Cycle Testing,0.17,0.17,0.0,3,ECU-300,1124.54,0.0,COST REFERENCE
4,TPS,Electronic Component,TPS-101,Thermistor,0.71,0.47,0.24,21,ECU-306,1108.95,266.15,REFERENCE FOUND!
4,TPS,Electronic Component,TPS-101,Temperature Sensor,1.3,0.86,0.44,29,TPS-109,1108.95,487.94,REFERENCE FOUND!
4,TPS,Electronic Component,TPS-101,Amplifier,0.24,0.24,0.0,4,TPS-101,1108.95,0.0,COST REFERENCE
4,TPS,Mechanical Components,TPS-101,Rubber Seal,0.5,0.48,0.02,21,ECU-306,1108.95,22.18,REFERENCE FOUND!
4,TPS,Mechanical Components,TPS-101,Copper Wire,0.35,0.24,0.11,21,ECU-306,1108.95,121.98,REFERENCE FOUND!
4,TPS,Mechanical Components,TPS-101,Rotary Shaft,0.33,0.28,0.05,21,ECU-306,1108.95,55.45,REFERENCE FOUND!
4,TPS,Raw Material,TPS-101,Silicone Rubber,0.42,0.35,0.07,39,TPS-113,1108.95,77.63,REFERENCE FOUND!
4,TPS,Raw Material,TPS-101,Titanium,0.28,0.28,0.0,4,TPS-101,1108.95,0.0,COST REFERENCE
4,TPS,Conversion Cost,TPS-101,Surface Treatment,0.59,0.59,0.0,4,TPS-101,1108.95,0.0,COST REFERENCE
4,TPS,Conversion Cost,TPS-101,Electronic Testing,0.44,0.35,0.09,39,TPS-113,1108.95,99.81,REFERENCE FOUND!
4,TPS,Conversion Cost,TPS-101,Inventory Management,0.37,0.28,0.09,21,ECU-306,1108.95,99.81,REFERENCE FOUND!
4,TPS,Logistic Choice,TPS-101,Air,0.56,0.43,0.13,14,O2-Sensor-204,1108.95,144.16,REFERENCE FOUND!
4,TPS,Logistic Choice,TPS-101,Material Analysis,0.32,0.17,0.15,39,TPS-113,1108.95,166.34,REFERENCE FOUND!
4,TPS,Logistic Choice,TPS-101,Vibration Analysis,0.26,0.18,0.08,21,ECU-306,1108.95,88.72,REFERENCE FOUND!
5,O2-Sensor,Electronic Component,O2-Sensor-201,LED,0.71,0.69,0.02,40,O2-Sensor-212,899.63,17.99,REFERENCE FOUND!
5,O2-Sensor,Electronic Component,O2-Sensor-201,Relay,1.57,0.83,0.74,40,O2-Sensor-212,899.63,665.73,REFERENCE FOUND!
5,O2-Sensor,Electronic Component,O2-Sensor-201,Operational Amplifier,0.34,0.21,0.13,40,O2-Sensor-212,899.63,116.95,REFERENCE FOUND!
5,O2-Sensor,Mechanical Components,O2-Sensor-201,Actuator Arm,0.42,0.37,0.05,40,O2-Sensor-212,899.63,44.98,REFERENCE FOUND!
5,O2-Sensor,Mechanical Components,O2-Sensor-201,Plastic Knob,0.24,0.24,0.0,5,O2-Sensor-201,899.63,0.0,COST REFERENCE
5,O2-Sensor,Mechanical Components,O2-Sensor-201,Cam Follower,0.4,0.36,0.04,40,O2-Sensor-212,899.63,35.99,REFERENCE FOUND!
5,O2-Sensor,Raw Material,O2-Sensor-201,Brass,0.45,0.41,0.04,30,O2-Sensor-209,899.63,35.99,REFERENCE FOUND!
5,O2-Sensor,Raw Material,O2-Sensor-201,Zinc,0.42,0.3,0.12,40,O2-Sensor-212,899.63,107.96,REFERENCE FOUND!
5,O2-Sensor,Conversion Cost,O2-Sensor-201,Electroplating,0.59,0.58,0.01,30,O2-Sensor-209,899.63,9.0,REFERENCE FOUND!
5,O2-Sensor,Conversion Cost,O2-Sensor-201,Assembly Line Setup,0.38,0.38,0.0,5,O2-Sensor-201,899.63,0.0,COST REFERENCE
5,O2-Sensor,Conversion Cost,O2-Sensor-201,Import Duties,0.34,0.3,0.04,30,O2-Sensor-209,899.63,35.99,REFERENCE FOUND!
5,O2-Sensor,Logistic Choice,O2-Sensor-201,Sea,0.52,0.42,0.1,18,O2-Sensor-205,899.63,89.96,REFERENCE FOUND!
5,O2-Sensor,Logistic Choice,O2-Sensor-201,Pressure Testing,0.23,0.18,0.05,18,O2-Sensor-205,899.63,44.98,REFERENCE FOUND!
5,O2-Sensor,Logistic Choice,O2-Sensor-201,Reliability Testing,0.21,0.11,0.1,40,O2-Sensor-212,899.63,89.96,REFERENCE FOUND!
6,ECU,Electronic Component,ECU-301,Diode,0.6,0.24,0.36,20,O2-Sensor-206,1193.3,429.59,REFERENCE FOUND!
6,ECU,Electronic Component,ECU-301,Inductor,1.39,0.93,0.46,22,O2-Sensor-207,1193.3,548.92,REFERENCE FOUND!
6,ECU,Electronic Component,ECU-301,Crystal Oscillator,0.22,0.21,0.01,22,O2-Sensor-207,1193.3,11.93,REFERENCE FOUND!
6,ECU,Mechanical Components,ECU-301,Connector Body,0.38,0.37,0.01,22,O2-Sensor-207,1193.3,11.93,REFERENCE FOUND!
6,ECU,Mechanical Components,ECU-301,Steel Rod,0.28,0.28,0.0,6,ECU-301,1193.3,0.0,COST REFERENCE
6,ECU,Mechanical Components,ECU-301,Linkage Assembly,0.35,0.35,0.0,6,ECU-301,1193.3,0.0,COST REFERENCE
6,ECU,Raw Material,ECU-301,Glass,0.45,0.33,0.12,31,ECU-310,1193.3,143.2,REFERENCE FOUND!
6,ECU,Raw Material,ECU-301,Graphite,0.4,0.31,0.09,22,O2-Sensor-207,1193.3,107.4,REFERENCE FOUND!
6,ECU,Conversion Cost,ECU-301,Molding,0.74,0.64,0.1,31,ECU-310,1193.3,119.33,REFERENCE FOUND!
6,ECU,Conversion Cost,ECU-301,Equipment Maintenance,0.4,0.37,0.03,41,ECU-313,1193.3,35.8,REFERENCE FOUND!
6,ECU,Conversion Cost,ECU-301,Export Processing,0.41,0.29,0.12,41,ECU-313,1193.3,143.2,REFERENCE FOUND!
6,ECU,Logistic Choice,ECU-301,Road,0.47,0.45,0.02,44,ECU-314,1193.3,23.87,REFERENCE FOUND!
6,ECU,Logistic Choice,ECU-301,Electrical Testing,0.3,0.25,0.05,22,O2-Sensor-207,1193.3,59.66,REFERENCE FOUND!
6,ECU,Logistic Choice,ECU-301,Wear Testing,0.17,0.16,0.01,22,O2-Sensor-207,1193.3,11.93,REFERENCE FOUND!
7,TPS,Electronic Component,TPS-102,Integrated Circuit,0.55,0.47,0.08,23,ECU-307,850.15,68.01,REFERENCE FOUND!
7,TPS,Electronic Component,TPS-102,Piezoelectric Sensor,0.99,0.99,0.0,7,TPS-102,850.15,0.0,COST REFERENCE
7,TPS,Electronic Component,TPS-102,Filter,0.21,0.21,0.0,7,TPS-102,850.15,0.0,COST REFERENCE
7,TPS,Mechanical Components,TPS-102,Valve Body,0.5,0.43,0.07,32,TPS-110,850.15,59.51,REFERENCE FOUND!
7,TPS,Mechanical Components,TPS-102,Ceramic Disc,0.37,0.28,0.09,42,TPS-114,850.15,76.51,REFERENCE FOUND!
7,TPS,Mechanical Components,TPS-102,Control Arm,0.46,0.34,0.12,23,ECU-307,850.15,102.02,REFERENCE FOUND!
7,TPS,Raw Material,TPS-102,Rubber,0.48,0.35,0.13,42,TPS-114,850.15,110.52,REFERENCE FOUND!
7,TPS,Raw Material,TPS-102,Lead,0.35,0.27,0.08,42,TPS-114,850.15,68.01,REFERENCE FOUND!
7,TPS,Conversion Cost,TPS-102,Coating Application,0.67,0.61,0.06,32,TPS-110,850.15,51.01,REFERENCE FOUND!
7,TPS,Conversion Cost,TPS-102,Worker Training,0.56,0.41,0.15,32,TPS-110,850.15,127.52,REFERENCE FOUND!
7,TPS,Conversion Cost,TPS-102,Customs Clearance,0.45,0.33,0.12,42,TPS-114,850.15,102.02,REFERENCE FOUND!
7,TPS,Logistic Choice,TPS-102,Sea,0.6,0.42,0.18,18,O2-Sensor-205,850.15,153.03,REFERENCE FOUND!
7,TPS,Logistic Choice,TPS-102,Chemical Analysis,0.31,0.17,0.14,23,ECU-307,850.15,119.02,REFERENCE FOUND!
7,TPS,Logistic Choice,TPS-102,Endurance Testing,0.17,0.17,0.0,7,TPS-102,850.15,0.0,COST REFERENCE
8,O2-Sensor,Electronic Component,O2-Sensor-202,Fuse,0.74,0.49,0.25,43,O2-Sensor-213,945.39,236.35,REFERENCE FOUND!
8,O2-Sensor,Electronic Component,O2-Sensor-202,Servo Motor,1.48,1.03,0.45,24,TPS-107,945.39,425.43,REFERENCE FOUND!
8,O2-Sensor,Electronic Component,O2-Sensor-202,Rectifier,0.34,0.21,0.13,24,TPS-107,945.39,122.9,REFERENCE FOUND!
8,O2-Sensor,Mechanical Components,O2-Sensor-202,Heat Sink,0.45,0.2,0.25,2,O2-Sensor-200,945.39,236.35,REFERENCE FOUND!
8,O2-Sensor,Mechanical Components,O2-Sensor-202,Metal Clip,0.37,0.26,0.11,24,TPS-107,945.39,103.99,REFERENCE FOUND!
8,O2-Sensor,Mechanical Components,O2-Sensor-202,Bushing Assembly,0.43,0.4,0.03,33,O2-Sensor-210,945.39,28.36,REFERENCE FOUND!
8,O2-Sensor,Raw Material,O2-Sensor-202,Carbon Fiber,0.41,0.4,0.01,33,O2-Sensor-210,945.39,9.45,REFERENCE FOUND!
8,O2-Sensor,Raw Material,O2-Sensor-202,Iron,0.27,0.26,0.01,24,TPS-107,945.39,9.45,REFERENCE FOUND!
8,O2-Sensor,Conversion Cost,O2-Sensor-202,Heat Treatment,0.71,0.66,0.05,43,O2-Sensor-213,945.39,47.27,REFERENCE FOUND!
8,O2-Sensor,Conversion Cost,O2-Sensor-202,Safety Testing,0.51,0.45,0.06,33,O2-Sensor-210,945.39,56.72,REFERENCE FOUND!
8,O2-Sensor,Conversion Cost,O2-Sensor-202,Quality Assurance,0.31,0.31,0.0,8,O2-Sensor-202,945.39,0.0,COST REFERENCE
8,O2-Sensor,Logistic Choice,O2-Sensor-202,Air,0.63,0.43,0.2,14,O2-Sensor-204,945.39,189.08,REFERENCE FOUND!
8,O2-Sensor,Logistic Choice,O2-Sensor-202,Torque Testing,0.19,0.19,0.0,8,O2-Sensor-202,945.39,0.0,COST REFERENCE
8,O2-Sensor,Logistic Choice,O2-Sensor-202,Non-Destructive Testing,0.13,0.13,0.0,8,O2-Sensor-202,945.39,0.0,COST REFERENCE
9,ECU,Electronic Component,ECU-302,Voltage Regulator,0.69,0.22,0.47,1,TPS-100,743.95,349.66,REFERENCE FOUND!
9,ECU,Electronic Component,ECU-302,Optocoupler,1.6,0.98,0.62,44,ECU-314,743.95,461.25,REFERENCE FOUND!
9,ECU,Electronic Component,ECU-302,Power Supply,0.2,0.2,0.0,9,ECU-302,743.95,0.0,COST REFERENCE
9,ECU,Mechanical Components,ECU-302,Piston,0.46,0.39,0.07,25,ECU-308,743.95,52.08,REFERENCE FOUND!
9,ECU,Mechanical Components,ECU-302,Wire Harness,0.36,0.31,0.05,44,ECU-314,743.95,37.2,REFERENCE FOUND!
9,ECU,Mechanical Components,ECU-302,Pivot Point,0.34,0.34,0.0,9,ECU-302,743.95,0.0,COST REFERENCE
9,ECU,Raw Material,ECU-302,Polycarbonate,0.39,0.39,0.0,9,ECU-302,743.95,0.0,COST REFERENCE
9,ECU,Raw Material,ECU-302,Alloy Steel,0.38,0.35,0.03,44,ECU-314,743.95,22.32,REFERENCE FOUND!
9,ECU,Conversion Cost,ECU-302,Polishing,0.67,0.61,0.06,25,ECU-308,743.95,44.64,REFERENCE FOUND!
9,ECU,Conversion Cost,ECU-302,Process Optimization,0.38,0.38,0.0,9,ECU-302,743.95,0.0,COST REFERENCE
9,ECU,Conversion Cost,ECU-302,Supply Chain Management,0.29,0.27,0.02,34,ECU-311,743.95,14.88,REFERENCE FOUND!
9,ECU,Logistic Choice,ECU-302,Road,0.49,0.45,0.04,44,ECU-314,743.95,29.76,REFERENCE FOUND!
9,ECU,Logistic Choice,ECU-302,Leak Testing,0.15,0.15,0.0,9,ECU-302,743.95,0.0,COST REFERENCE
9,ECU,Logistic Choice,ECU-302,Durability Testing,0.17,0.11,0.06,34,ECU-311,743.95,44.64,REFERENCE FOUND!
10,TPS,Electronic Component,TPS-103,Oscillator,0.76,0.48,0.28,45,TPS-115,701.67,196.47,REFERENCE FOUND!
10,TPS,Electronic Component,TPS-103,Magnetic Sensor,1.11,0.73,0.38,45,TPS-115,701.67,266.63,REFERENCE FOUND!
10,TPS,Electronic Component,TPS-103,Charge Controller,0.29,0.29,0.0,10,TPS-103,701.67,0.0,COST REFERENCE
10,TPS,Mechanical Components,TPS-103,Gasket,0.58,0.44,0.14,35,TPS-111,701.67,98.23,REFERENCE FOUND!
10,TPS,Mechanical Components,TPS-103,Spring,0.36,0.27,0.09,45,TPS-115,701.67,63.15,REFERENCE FOUND!
10,TPS,Mechanical Components,TPS-103,Slider Mechanism,0.33,0.33,0.0,10,TPS-103,701.67,0.0,COST REFERENCE
10,TPS,Raw Material,TPS-103,Teflon,0.41,0.41,0.0,10,TPS-103,701.67,0.0,COST REFERENCE
10,TPS,Raw Material,TPS-103,Magnesium,0.34,0.34,0.0,10,TPS-103,701.67,0.0,COST REFERENCE
10,TPS,Conversion Cost,TPS-103,Annealing,0.67,0.58,0.09,45,TPS-115,701.67,63.15,REFERENCE FOUND!
10,TPS,Conversion Cost,TPS-103,Product Certification,0.42,0.42,0.0,10,TPS-103,701.67,0.0,COST REFERENCE
10,TPS,Conversion Cost,TPS-103,Logistics Coordination,0.41,0.27,0.14,35,TPS-111,701.67,98.23,REFERENCE FOUND!
10,TPS,Logistic Choice,TPS-103,Sea,0.58,0.42,0.16,18,O2-Sensor-205,701.67,112.27,REFERENCE FOUND!
10,TPS,Logistic Choice,TPS-103,Acoustic Testing,0.18,0.18,0.0,10,TPS-103,701.67,0.0,COST REFERENCE
10,TPS,Logistic Choice,TPS-103,Impact Testing,0.11,0.11,0.0,10,TPS-103,701.67,0.0,COST REFERENCE
11,O2-Sensor,Electronic Component,O2-Sensor-203,Transducer,0.7,0.7,0.0,11,O2-Sensor-203,684.32,0.0,COST REFERENCE
11,O2-Sensor,Electronic Component,O2-Sensor-203,Variable Resistor,1.57,0.8,0.77,46,O2-Sensor-214,684.32,526.93,REFERENCE FOUND!
11,O2-Sensor,Electronic Component,O2-Sensor-203,Energy Harvester,0.34,0.29,0.05,46,O2-Sensor-214,684.32,34.22,REFERENCE FOUND!
11,O2-Sensor,Mechanical Components,O2-Sensor-203,Bracket Assembly,0.58,0.4,0.18,46,O2-Sensor-214,684.32,123.18,REFERENCE FOUND!
11,O2-Sensor,Mechanical Components,O2-Sensor-203,Pin Connector,0.27,0.24,0.03,46,O2-Sensor-214,684.32,20.53,REFERENCE FOUND!
11,O2-Sensor,Mechanical Components,O2-Sensor-203,Rack and Pinion,0.28,0.28,0.0,11,O2-Sensor-203,684.32,0.0,COST REFERENCE
11,O2-Sensor,Raw Material,O2-Sensor-203,Ceramic,0.33,0.33,0.0,11,O2-Sensor-203,684.32,0.0,COST REFERENCE
11,O2-Sensor,Raw Material,O2-Sensor-203,Tungsten,0.25,0.25,0.0,11,O2-Sensor-203,684.32,0.0,COST REFERENCE
11,O2-Sensor,Conversion Cost,O2-Sensor-203,Casting,0.68,0.59,0.09,46,O2-Sensor-214,684.32,61.59,REFERENCE FOUND!
11,O2-Sensor,Conversion Cost,O2-Sensor-203,Tooling Setup,0.38,0.38,0.0,11,O2-Sensor-203,684.32,0.0,COST REFERENCE
11,O2-Sensor,Conversion Cost,O2-Sensor-203,Risk Management,0.45,0.29,0.16,46,O2-Sensor-214,684.32,109.49,REFERENCE FOUND!
11,O2-Sensor,Logistic Choice,O2-Sensor-203,Air,0.54,0.43,0.11,14,O2-Sensor-204,684.32,75.28,REFERENCE FOUND!
11,O2-Sensor,Logistic Choice,O2-Sensor-203,Radiographic Inspection,0.3,0.3,0.0,11,O2-Sensor-203,684.32,0.0,COST REFERENCE
11,O2-Sensor,Logistic Choice,O2-Sensor-203,Corrosion Testing,0.25,0.24,0.01,46,O2-Sensor-214,684.32,6.84,REFERENCE FOUND!
12,ECU,Electronic Component,ECU-303,Photodiode,0.57,0.57,0.0,12,ECU-303,518.93,0.0,COST REFERENCE
12,ECU,Electronic Component,ECU-303,LCD Display,1.28,1.28,0.0,12,ECU-303,518.93,0.0,COST REFERENCE
12,ECU,Electronic Component,ECU-303,Signal Processor,0.31,0.26,0.05,47,ECU-315,518.93,25.95,REFERENCE FOUND!
12,ECU,Mechanical Components,ECU-303,Switch Assembly,0.54,0.54,0.0,12,ECU-303,518.93,0.0,COST REFERENCE
12,ECU,Mechanical Components,ECU-303,Rivet,0.33,0.32,0.01,47,ECU-315,518.93,5.19,REFERENCE FOUND!
12,ECU,Mechanical Components,ECU-303,Helical Spring,0.39,0.39,0.0,12,ECU-303,518.93,0.0,COST REFERENCE
12,ECU,Raw Material,ECU-303,High-Density Polyethylene,0.48,0.36,0.12,47,ECU-315,518.93,62.27,REFERENCE FOUND!
12,ECU,Raw Material,ECU-303,Silicon,0.27,0.25,0.02,47,ECU-315,518.93,10.38,REFERENCE FOUND!
12,ECU,Conversion Cost,ECU-303,Drilling,0.62,0.57,0.05,47,ECU-315,518.93,25.95,REFERENCE FOUND!
12,ECU,Conversion Cost,ECU-303,Firmware Updating,0.53,0.47,0.06,47,ECU-315,518.93,31.14,REFERENCE FOUND!
12,ECU,Conversion Cost,ECU-303,Inventory Optimization,0.35,0.31,0.04,47,ECU-315,518.93,20.76,REFERENCE FOUND!
12,ECU,Logistic Choice,ECU-303,Road,0.49,0.45,0.04,44,ECU-314,518.93,20.76,REFERENCE FOUND!
12,ECU,Logistic Choice,ECU-303,Spectral Analysis,0.26,0.26,0.0,12,ECU-303,518.93,0.0,COST REFERENCE
12,ECU,Logistic Choice,ECU-303,Thermal Cycling,0.12,0.12,0.0,12,ECU-303,518.93,0.0,COST REFERENCE
13,TPS,Electronic Component,TPS-104,Piezoelectric Crystal,0.76,0.49,0.27,48,TPS-116,558.0,150.66,REFERENCE FOUND!
13,TPS,Electronic Component,TPS-104,RFID Chip,0.75,0.75,0.0,13,TPS-104,558.0,0.0,COST REFERENCE
13,TPS,Electronic Component,TPS-104,Hall Effect Sensor,0.3,0.26,0.04,48,TPS-116,558.0,22.32,REFERENCE FOUND!
13,TPS,Mechanical Components,TPS-104,Frame Structure,0.41,0.41,0.0,13,TPS-104,558.0,0.0,COST REFERENCE
13,TPS,Mechanical Components,TPS-104,Bearing,0.28,0.26,0.02,48,TPS-116,558.0,11.16,REFERENCE FOUND!
13,TPS,Mechanical Components,TPS-104,Sprocket Assembly,0.32,0.28,0.04,48,TPS-116,558.0,22.32,REFERENCE FOUND!
13,TPS,Raw Material,TPS-104,Composite Material,0.48,0.41,0.07,48,TPS-116,558.0,39.06,REFERENCE FOUND!
13,TPS,Raw Material,TPS-104,Bronze,0.37,0.37,0.0,13,TPS-104,558.0,0.0,COST REFERENCE
13,TPS,Conversion Cost,TPS-104,Stamping,0.74,0.67,0.07,48,TPS-116,558.0,39.06,REFERENCE FOUND!
13,TPS,Conversion Cost,TPS-104,Workflow Analysis,0.35,0.35,0.0,13,TPS-104,558.0,0.0,COST REFERENCE
13,TPS,Conversion Cost,TPS-104,Transport Licensing,0.41,0.28,0.13,48,TPS-116,558.0,72.54,REFERENCE FOUND!
13,TPS,Logistic Choice,TPS-104,Sea,0.54,0.42,0.12,18,O2-Sensor-205,558.0,66.96,REFERENCE FOUND!
13,TPS,Logistic Choice,TPS-104,Ultrasonic Testing,0.17,0.17,0.0,13,TPS-104,558.0,0.0,COST REFERENCE
13,TPS,Logistic Choice,TPS-104,Fatigue Testing,0.28,0.22,0.06,48,TPS-116,558.0,33.48,REFERENCE FOUND!
14,O2-Sensor,Electronic Component,O2-Sensor-204,Hall Sensor,0.45,0.45,0.0,14,O2-Sensor-204,841.47,0.0,COST REFERENCE
14,O2-Sensor,Electronic Component,O2-Sensor-204,Bluetooth Module,0.71,0.71,0.0,14,O2-Sensor-204,841.47,0.0,COST REFERENCE
14,O2-Sensor,Electronic Component,O2-Sensor-204,Analog-to-Digital Converter,0.31,0.31,0.0,14,O2-Sensor-204,841.47,0.0,COST REFERENCE
14,O2-Sensor,Mechanical Components,O2-Sensor-204,Exhaust Clamp,0.56,0.51,0.05,49,O2-Sensor-215,841.47,42.07,REFERENCE FOUND!
14,O2-Sensor,Mechanical Components,O2-Sensor-204,Bolt,0.25,0.25,0.0,14,O2-Sensor-204,841.47,0.0,COST REFERENCE
14,O2-Sensor,Mechanical Components,O2-Sensor-204,Link Chain,0.44,0.3,0.14,49,O2-Sensor-215,841.47,117.81,REFERENCE FOUND!
14,O2-Sensor,Raw Material,O2-Sensor-204,Titanium Alloy,0.43,0.43,0.0,14,O2-Sensor-204,841.47,0.0,COST REFERENCE
14,O2-Sensor,Raw Material,O2-Sensor-204,Platinum,0.31,0.31,0.0,14,O2-Sensor-204,841.47,0.0,COST REFERENCE
14,O2-Sensor,Conversion Cost,O2-Sensor-204,Laser Cutting,0.61,0.57,0.04,49,O2-Sensor-215,841.47,33.66,REFERENCE FOUND!
14,O2-Sensor,Conversion Cost,O2-Sensor-204,Prototype Development,0.4,0.37,0.03,49,O2-Sensor-215,841.47,25.24,REFERENCE FOUND!
14,O2-Sensor,Conversion Cost,O2-Sensor-204,Order Processing,0.28,0.26,0.02,49,O2-Sensor-215,841.47,16.83,REFERENCE FOUND!
14,O2-Sensor,Logistic Choice,O2-Sensor-204,Air,0.43,0.43,0.0,14,O2-Sensor-204,841.47,0.0,COST REFERENCE
14,O2-Sensor,Logistic Choice,O2-Sensor-204,X-Ray Inspection,0.29,0.25,0.04,49,O2-Sensor-215,841.47,33.66,REFERENCE FOUND!
14,O2-Sensor,Logistic Choice,O2-Sensor-204,Load Testing,0.18,0.17,0.01,49,O2-Sensor-215,841.47,8.41,REFERENCE FOUND!
15,ECU,Electronic Component,ECU-304,RFID Reader,0.51,0.51,0.0,15,ECU-304,1149.14,0.0,COST REFERENCE
15,ECU,Electronic Component,ECU-304,GPS Module,1.15,1.15,0.0,15,ECU-304,1149.14,0.0,COST REFERENCE
