CQID,CPID,CComp,LCost,DQID,DPID
34,ECU-311,Power Supply,0.2,9,ECU-302
35,TPS-111,Oscillator,0.48,45,TPS-115
35,TPS-111,Magnetic Sensor,0.73,45,TPS-115
35,TPS-111,Charge Controller,0.29,10,TPS-103
36,TPS-112,Potentiometer,[self reference],36,TPS-112
36,TPS-112,Microcontroller,1.01,26,TPS-108
36,TPS-112,Voltage Regulator,0.22,1,TPS-100
37,O2-Sensor-211,Resistor,0.51,27,O2-Sensor-208
37,O2-Sensor-211,Pressure Sensor,1.03,2,O2-Sensor-200
37,O2-Sensor-211,Heat Sink,0.2,2,O2-Sensor-200
38,ECU-312,Capacitor,0.51,28,ECU-309
38,ECU-312,Transistor,[self reference],38,ECU-312
38,ECU-312,Diode,0.24,20,O2-Sensor-206
39,TPS-113,Thermistor,0.47,21,ECU-306
39,TPS-113,Temperature Sensor,0.86,29,TPS-109
39,TPS-113,Amplifier,0.24,4,TPS-101
40,O2-Sensor-212,LED,[self reference],40,O2-Sensor-212
40,O2-Sensor-212,Relay,[self reference],40,O2-Sensor-212
40,O2-Sensor-212,Operational Amplifier,[self reference],40,O2-Sensor-212
41,ECU-313,Diode,0.6,6,ECU-301
41,ECU-313,Inductor,0.93,22,O2-Sensor-207
41,ECU-313,Crystal Oscillator,0.21,22,O2-Sensor-207
42,TPS-114,Integrated Circuit,0.47,23,ECU-307
42,TPS-114,Piezoelectric Sensor,0.99,7,TPS-102
42,TPS-114,Filter,0.21,7,TPS-102
43,O2-Sensor-213,Fuse,[self reference],43,O2-Sensor-213
43,O2-Sensor-213,Servo Motor,1.03,24,TPS-107
43,O2-Sensor-213,Rectifier,0.21,24,TPS-107
44,ECU-314,Voltage Regulator,0.62,34,ECU-311
44,ECU-314,Optocoupler,[self reference],44,ECU-314
44,ECU-314,Power Supply,0.2,9,ECU-302
45,TPS-115,Oscillator,[self reference],45,TPS-115
45,TPS-115,Magnetic Sensor,[self reference],45,TPS-115
45,TPS-115,Charge Controller,0.29,10,TPS-103
46,O2-Sensor-214,Transducer,0.7,11,O2-Sensor-203
46,O2-Sensor-214,Variable Resistor,[self reference],46,O2-Sensor-214
46,O2-Sensor-214,Energy Harvester,[self reference],46,O2-Sensor-214
47,ECU-315,Photodiode,0.57,12,ECU-303
47,ECU-315,LCD Display,1.28,12,ECU-303
47,ECU-315,Signal Processor,[self reference],47,ECU-315
48,TPS-116,Piezoelectric Crystal,[self reference],48,TPS-116
48,TPS-116,RFID Chip,0.75,13,TPS-104
48,TPS-116,Hall Effect Sensor,[self reference],48,TPS-116
49,O2-Sensor-215,Hall Sensor,0.45,14,O2-Sensor-204
49,O2-Sensor-215,Bluetooth Module,0.71,14,O2-Sensor-204
49,O2-Sensor-215,Analog-to-Digital Converter,0.31,14,O2-Sensor-204
50,ECU-316,RFID Reader,0.51,15,ECU-304
50,ECU-316,GPS Module,1.15,15,ECU-304
50,ECU-316,Power Amplifier,0.2,15,ECU-304
