CQID,pType,CAT,CPID,CComp,CCost,LCost,DCost,DQID,DPID,[Q],IMP,POS
15,ECU,Electronic Component,ECU-304,GPS Module,1.15,1.15,0.0,15,ECU-304,8460000.0,0.0,COST REFERENCE
15,ECU,Electronic Component,ECU-304,Power Amplifier,0.2,0.2,0.0,15,ECU-304,8460000.0,0.0,COST REFERENCE
16,ECU,Electronic Component,ECU-305,Solenoid,0.78,0.78,0.0,16,ECU-305,6980000.0,0.0,COST REFERENCE
16,ECU,Electronic Component,ECU-305,Accelerometer,1.11,1.11,0.0,16,ECU-305,6980000.0,0.0,COST REFERENCE
16,ECU,Electronic Component,ECU-305,DC-DC Converter,0.27,0.27,0.0,16,ECU-305,6980000.0,0.0,COST REFERENCE
17,TPS,Electronic Component,TPS-105,Potentiometer,0.6,0.58,0.02,36,TPS-112,6470000.0,129400.0,REFERENCE FOUND!
17,TPS,Electronic Component,TPS-105,Microcontroller,1.3,1.01,0.29,26,TPS-108,6470000.0,1876300.0,REFERENCE FOUND!
17,TPS,Electronic Component,TPS-105,Voltage Regulator,0.3,0.22,0.08,1,TPS-100,6470000.0,517600.0,REFERENCE FOUND!
18,O2-Sensor,Electronic Component,O2-Sensor-205,LED,0.79,0.69,0.1,40,O2-Sensor-212,7910000.0,791000.0,REFERENCE FOUND!
18,O2-Sensor,Electronic Component,O2-Sensor-205,Relay,1.37,0.83,0.54,40,O2-Sensor-212,7910000.0,4271400.0,REFERENCE FOUND!
18,O2-Sensor,Electronic Component,O2-Sensor-205,Operational Amplifier,0.23,0.21,0.02,40,O2-Sensor-212,7910000.0,158200.0,REFERENCE FOUND!
19,TPS,Electronic Component,TPS-106,Resistor,0.71,0.51,0.2,27,O2-Sensor-208,6980000.0,1396000.0,REFERENCE FOUND!
19,TPS,Electronic Component,TPS-106,Pressure Sensor,1.21,1.03,0.18,2,O2-Sensor-200,6980000.0,1256400.0,REFERENCE FOUND!
19,TPS,Electronic Component,TPS-106,Heat Sink,0.26,0.2,0.06,2,O2-Sensor-200,6980000.0,418800.0,REFERENCE FOUND!
20,O2-Sensor,Electronic Component,O2-Sensor-206,Capacitor,0.55,0.51,0.04,28,ECU-309,7590000.0,303600.0,REFERENCE FOUND!
20,O2-Sensor,Electronic Component,O2-Sensor-206,Transistor,1.03,0.96,0.07,38,ECU-312,7590000.0,531300.0,REFERENCE FOUND!
20,O2-Sensor,Electronic Component,O2-Sensor-206,Diode,0.24,0.24,0.0,20,O2-Sensor-206,7590000.0,0.0,COST REFERENCE
21,ECU,Electronic Component,ECU-306,Thermistor,0.47,0.47,0.0,21,ECU-306,6810000.0,0.0,COST REFERENCE
21,ECU,Electronic Component,ECU-306,Temperature Sensor,0.96,0.86,0.1,29,TPS-109,6810000.0,681000.0,REFERENCE FOUND!
21,ECU,Electronic Component,ECU-306,Amplifier,0.28,0.24,0.04,4,TPS-101,6810000.0,272400.0,REFERENCE FOUND!
22,O2-Sensor,Electronic Component,O2-Sensor-207,Diode,0.69,0.6,0.09,6,ECU-301,7320000.0,658800.0,REFERENCE FOUND!
22,O2-Sensor,Electronic Component,O2-Sensor-207,Inductor,0.93,0.93,0.0,22,O2-Sensor-207,7320000.0,0.0,COST REFERENCE
22,O2-Sensor,Electronic Component,O2-Sensor-207,Crystal Oscillator,0.21,0.21,0.0,22,O2-Sensor-207,7320000.0,0.0,COST REFERENCE
23,ECU,Electronic Component,ECU-307,Integrated Circuit,0.47,0.47,0.0,23,ECU-307,6820000.0,0.0,COST REFERENCE
23,ECU,Electronic Component,ECU-307,Piezoelectric Sensor,1.07,0.99,0.08,7,TPS-102,6820000.0,545600.0,REFERENCE FOUND!
23,ECU,Electronic Component,ECU-307,Filter,0.36,0.21,0.15,7,TPS-102,6820000.0,1023000.0,REFERENCE FOUND!
24,TPS,Electronic Component,TPS-107,Fuse,0.52,0.49,0.03,43,O2-Sensor-213,7960000.0,238800.0,REFERENCE FOUND!
24,TPS,Electronic Component,TPS-107,Servo Motor,1.03,1.03,0.0,24,TPS-107,7960000.0,0.0,COST REFERENCE
24,TPS,Electronic Component,TPS-107,Rectifier,0.21,0.21,0.0,24,TPS-107,7960000.0,0.0,COST REFERENCE
25,ECU,Electronic Component,ECU-308,Voltage Regulator,0.63,0.62,0.01,34,ECU-311,6630000.0,66300.0,REFERENCE FOUND!
25,ECU,Electronic Component,ECU-308,Optocoupler,1.28,0.98,0.3,44,ECU-314,6630000.0,1989000.0,REFERENCE FOUND!
25,ECU,Electronic Component,ECU-308,Power Supply,0.31,0.2,0.11,9,ECU-302,6630000.0,729300.0,REFERENCE FOUND!
26,TPS,Electronic Component,TPS-108,Potentiometer,0.68,0.58,0.1,36,TPS-112,6620000.0,662000.0,REFERENCE FOUND!
26,TPS,Electronic Component,TPS-108,Microcontroller,1.01,1.01,0.0,26,TPS-108,6620000.0,0.0,COST REFERENCE
26,TPS,Electronic Component,TPS-108,Voltage Regulator,0.29,0.22,0.07,1,TPS-100,6620000.0,463400.0,REFERENCE FOUND!
27,O2-Sensor,Electronic Component,O2-Sensor-208,Resistor,0.51,0.51,0.0,27,O2-Sensor-208,8119999.999999999,0.0,COST REFERENCE
27,O2-Sensor,Electronic Component,O2-Sensor-208,Pressure Sensor,1.58,1.03,0.55,2,O2-Sensor-200,8119999.999999999,4466000.0,REFERENCE FOUND!
27,O2-Sensor,Electronic Component,O2-Sensor-208,Heat Sink,0.35,0.2,0.15,2,O2-Sensor-200,8119999.999999999,1218000.0,REFERENCE FOUND!
28,ECU,Electronic Component,ECU-309,Capacitor,0.51,0.51,0.0,28,ECU-309,7760000.0,0.0,COST REFERENCE
28,ECU,Electronic Component,ECU-309,Transistor,1.47,0.96,0.51,38,ECU-312,7760000.0,3957600.0,REFERENCE FOUND!
28,ECU,Electronic Component,ECU-309,Diode,0.35,0.24,0.11,20,O2-Sensor-206,7760000.0,853600.0,REFERENCE FOUND!
29,TPS,Electronic Component,TPS-109,Thermistor,0.64,0.47,0.17,21,ECU-306,7320000.0,1244400.0,REFERENCE FOUND!
29,TPS,Electronic Component,TPS-109,Temperature Sensor,0.86,0.86,0.0,29,TPS-109,7320000.0,0.0,COST REFERENCE
29,TPS,Electronic Component,TPS-109,Amplifier,0.28,0.24,0.04,4,TPS-101,7320000.0,292800.0,REFERENCE FOUND!
30,O2-Sensor,Electronic Component,O2-Sensor-209,LED,0.74,0.69,0.05,40,O2-Sensor-212,6420000.0,321000.0,REFERENCE FOUND!
30,O2-Sensor,Electronic Component,O2-Sensor-209,Relay,0.92,0.83,0.09,40,O2-Sensor-212,6420000.0,577800.0,REFERENCE FOUND!
30,O2-Sensor,Electronic Component,O2-Sensor-209,Operational Amplifier,0.26,0.21,0.05,40,O2-Sensor-212,6420000.0,321000.0,REFERENCE FOUND!
31,ECU,Electronic Component,ECU-310,Diode,0.72,0.6,0.12,6,ECU-301,7840000.0,940800.0,REFERENCE FOUND!
31,ECU,Electronic Component,ECU-310,Inductor,1.46,0.93,0.53,22,O2-Sensor-207,7840000.0,4155200.0,REFERENCE FOUND!
31,ECU,Electronic Component,ECU-310,Crystal Oscillator,0.29,0.21,0.08,22,O2-Sensor-207,7840000.0,627200.0,REFERENCE FOUND!
32,TPS,Electronic Component,TPS-110,Integrated Circuit,0.74,0.47,0.27,23,ECU-307,8270000.0,2232900.0,REFERENCE FOUND!
32,TPS,Electronic Component,TPS-110,Piezoelectric Sensor,1.06,0.99,0.07,7,TPS-102,8270000.0,578900.0,REFERENCE FOUND!
32,TPS,Electronic Component,TPS-110,Filter,0.28,0.21,0.07,7,TPS-102,8270000.0,578900.0,REFERENCE FOUND!
33,O2-Sensor,Electronic Component,O2-Sensor-210,Fuse,0.61,0.49,0.12,43,O2-Sensor-213,7630000.0,915600.0,REFERENCE FOUND!
33,O2-Sensor,Electronic Component,O2-Sensor-210,Servo Motor,1.08,1.03,0.05,24,TPS-107,7630000.0,381500.0,REFERENCE FOUND!
33,O2-Sensor,Electronic Component,O2-Sensor-210,Rectifier,0.23,0.21,0.02,24,TPS-107,7630000.0,152600.0,REFERENCE FOUND!
34,ECU,Electronic Component,ECU-311,Voltage Regulator,0.62,0.62,0.0,34,ECU-311,7660000.0,0.0,COST REFERENCE
34,ECU,Electronic Component,ECU-311,Optocoupler,1.59,0.98,0.61,44,ECU-314,7660000.0,4672600.0,REFERENCE FOUND!
34,ECU,Electronic Component,ECU-311,Power Supply,0.32,0.2,0.12,9,ECU-302,7660000.0,919200.0,REFERENCE FOUND!
35,TPS,Electronic Component,TPS-111,Oscillator,0.77,0.48,0.29,45,TPS-115,8000000.0,2320000.0,REFERENCE FOUND!
35,TPS,Electronic Component,TPS-111,Magnetic Sensor,1.03,0.73,0.3,45,TPS-115,8000000.0,2400000.0,REFERENCE FOUND!
35,TPS,Electronic Component,TPS-111,Charge Controller,0.3,0.29,0.01,10,TPS-103,8000000.0,80000.0,REFERENCE FOUND!
36,TPS,Electronic Component,TPS-112,Potentiometer,0.58,0.58,0.0,36,TPS-112,6800000.0,0.0,COST REFERENCE
36,TPS,Electronic Component,TPS-112,Microcontroller,1.57,1.01,0.56,26,TPS-108,6800000.0,3808000.0,REFERENCE FOUND!
36,TPS,Electronic Component,TPS-112,Voltage Regulator,0.35,0.22,0.13,1,TPS-100,6800000.0,884000.0,REFERENCE FOUND!
37,O2-Sensor,Electronic Component,O2-Sensor-211,Resistor,0.54,0.51,0.03,27,O2-Sensor-208,6380000.0,191400.0,REFERENCE FOUND!
37,O2-Sensor,Electronic Component,O2-Sensor-211,Pressure Sensor,1.06,1.03,0.03,2,O2-Sensor-200,6380000.0,191400.0,REFERENCE FOUND!
37,O2-Sensor,Electronic Component,O2-Sensor-211,Heat Sink,0.35,0.2,0.15,2,O2-Sensor-200,6380000.0,957000.0,REFERENCE FOUND!
38,ECU,Electronic Component,ECU-312,Capacitor,0.64,0.51,0.13,28,ECU-309,7090000.0,921700.0,REFERENCE FOUND!
38,ECU,Electronic Component,ECU-312,Transistor,0.96,0.96,0.0,38,ECU-312,7090000.0,0.0,COST REFERENCE
38,ECU,Electronic Component,ECU-312,Diode,0.31,0.24,0.07,20,O2-Sensor-206,7090000.0,496300.0,REFERENCE FOUND!
39,TPS,Electronic Component,TPS-113,Thermistor,0.68,0.47,0.21,21,ECU-306,6510000.0,1367100.0,REFERENCE FOUND!
39,TPS,Electronic Component,TPS-113,Temperature Sensor,1.4,0.86,0.54,29,TPS-109,6510000.0,3515400.0,REFERENCE FOUND!
39,TPS,Electronic Component,TPS-113,Amplifier,0.27,0.24,0.03,4,TPS-101,6510000.0,195300.0,REFERENCE FOUND!
40,O2-Sensor,Electronic Component,O2-Sensor-212,LED,0.69,0.69,0.0,40,O2-Sensor-212,6930000.0,0.0,COST REFERENCE
40,O2-Sensor,Electronic Component,O2-Sensor-212,Relay,0.83,0.83,0.0,40,O2-Sensor-212,6930000.0,0.0,COST REFERENCE
40,O2-Sensor,Electronic Component,O2-Sensor-212,Operational Amplifier,0.21,0.21,0.0,40,O2-Sensor-212,6930000.0,0.0,COST REFERENCE
41,ECU,Electronic Component,ECU-313,Diode,0.6,0.6,0.0,6,ECU-301,7220000.0,0.0,REFERENCE FOUND!
41,ECU,Electronic Component,ECU-313,Inductor,1.07,0.93,0.14,22,O2-Sensor-207,7220000.0,1010800.0,REFERENCE FOUND!
41,ECU,Electronic Component,ECU-313,Crystal Oscillator,0.29,0.21,0.08,22,O2-Sensor-207,7220000.0,577600.0,REFERENCE FOUND!
42,TPS,Electronic Component,TPS-114,Integrated Circuit,0.58,0.47,0.11,23,ECU-307,7220000.0,794200.0,REFERENCE FOUND!
42,TPS,Electronic Component,TPS-114,Piezoelectric Sensor,1.23,0.99,0.24,7,TPS-102,7220000.0,1732800.0,REFERENCE FOUND!
42,TPS,Electronic Component,TPS-114,Filter,0.28,0.21,0.07,7,TPS-102,7220000.0,505400.0,REFERENCE FOUND!
43,O2-Sensor,Electronic Component,O2-Sensor-213,Fuse,0.49,0.49,0.0,43,O2-Sensor-213,7770000.0,0.0,COST REFERENCE
43,O2-Sensor,Electronic Component,O2-Sensor-213,Servo Motor,1.2,1.03,0.17,24,TPS-107,7770000.0,1320900.0,REFERENCE FOUND!
43,O2-Sensor,Electronic Component,O2-Sensor-213,Rectifier,0.34,0.21,0.13,24,TPS-107,7770000.0,1010100.0,REFERENCE FOUND!
44,ECU,Electronic Component,ECU-314,Voltage Regulator,0.62,0.62,0.0,34,ECU-311,6960000.0,0.0,REFERENCE FOUND!
44,ECU,Electronic Component,ECU-314,Optocoupler,0.98,0.98,0.0,44,ECU-314,6960000.0,0.0,COST REFERENCE
44,ECU,Electronic Component,ECU-314,Power Supply,0.25,0.2,0.05,9,ECU-302,6960000.0,348000.0,REFERENCE FOUND!
45,TPS,Electronic Component,TPS-115,Oscillator,0.48,0.48,0.0,45,TPS-115,6660000.0,0.0,COST REFERENCE
45,TPS,Electronic Component,TPS-115,Magnetic Sensor,0.73,0.73,0.0,45,TPS-115,6660000.0,0.0,COST REFERENCE
45,TPS,Electronic Component,TPS-115,Charge Controller,0.29,0.29,0.0,10,TPS-103,6660000.0,0.0,REFERENCE FOUND!
46,O2-Sensor,Electronic Component,O2-Sensor-214,Transducer,0.77,0.7,0.07,11,O2-Sensor-203,6690000.0,468300.0,REFERENCE FOUND!
46,O2-Sensor,Electronic Component,O2-Sensor-214,Variable Resistor,0.8,0.8,0.0,46,O2-Sensor-214,6690000.0,0.0,COST REFERENCE
46,O2-Sensor,Electronic Component,O2-Sensor-214,Energy Harvester,0.29,0.29,0.0,46,O2-Sensor-214,6690000.0,0.0,COST REFERENCE
47,ECU,Electronic Component,ECU-315,Photodiode,0.7,0.57,0.13,12,ECU-303,6320000.0,821600.0,REFERENCE FOUND!
47,ECU,Electronic Component,ECU-315,LCD Display,1.46,1.28,0.18,12,ECU-303,6320000.0,1137600.0,REFERENCE FOUND!
47,ECU,Electronic Component,ECU-315,Signal Processor,0.26,0.26,0.0,47,ECU-315,6320000.0,0.0,COST REFERENCE
48,TPS,Electronic Component,TPS-116,Piezoelectric Crystal,0.49,0.49,0.0,48,TPS-116,8410000.0,0.0,COST REFERENCE
48,TPS,Electronic Component,TPS-116,RFID Chip,1.31,0.75,0.56,13,TPS-104,8410000.0,4709600.0,REFERENCE FOUND!
48,TPS,Electronic Component,TPS-116,Hall Effect Sensor,0.26,0.26,0.0,48,TPS-116,8410000.0,0.0,COST REFERENCE
49,O2-Sensor,Electronic Component,O2-Sensor-215,Hall Sensor,0.54,0.45,0.09,14,O2-Sensor-204,7470000.0,672300.0,REFERENCE FOUND!
49,O2-Sensor,Electronic Component,O2-Sensor-215,Bluetooth Module,1.01,0.71,0.3,14,O2-Sensor-204,7470000.0,2241000.0,REFERENCE FOUND!
49,O2-Sensor,Electronic Component,O2-Sensor-215,Analog-to-Digital Converter,0.36,0.31,0.05,14,O2-Sensor-204,7470000.0,373500.0,REFERENCE FOUND!
50,ECU,Electronic Component,ECU-316,RFID Reader,0.8,0.51,0.29,15,ECU-304,8140000.000000001,2360600.0,REFERENCE FOUND!
50,ECU,Electronic Component,ECU-316,GPS Module,1.42,1.15,0.27,15,ECU-304,8140000.000000001,2197800.0,REFERENCE FOUND!
50,ECU,Electronic Component,ECU-316,Power Amplifier,0.3,0.2,0.1,15,ECU-304,8140000.000000001,814000.0,REFERENCE FOUND!
